# x y z rgb confidence size
-1.861879587173462 -0.4030854105949402 0.0 16776960.0 2.0 2.0
-1.8184384107589722 -0.4413450062274933 0.0 16776960.0 3.0 2.0
-1.739748239517212 -0.582022488117218 0.0 16776960.0 4.0 2.0
-1.6727807521820068 -0.8871039748191833 0.0 16776960.0 5.0 2.0
-1.630921483039856 -1.0717575550079346 0.0 16776960.0 6.0 2.0
-1.5229099988937378 -1.2551194429397583 0.0 16776960.0 7.0 2.0
-1.4219319820404053 -1.3692891597747803 0.0 16776960.0 8.0 2.0
-1.319556713104248 -1.459258794784546 0.0 16776960.0 9.0 2.0
-1.319556713104248 -1.459258794784546 0.0 8190976.0 10.0 2.0
-1.0622310638427734 -1.5974066257476807 0.0 8190976.0 11.0 2.0
-0.7931711673736572 -1.7157437801361084 0.0 8190976.0 12.0 2.0
-0.4941922724246979 -1.798497200012207 0.0 8190976.0 13.0 2.0
-0.3660791516304016 -1.805952787399292 0.0 8190976.0 14.0 2.0
-0.21390214562416077 -1.7894521951675415 0.0 8190976.0 15.0 2.0
-0.21390214562416077 -1.7894521951675415 0.0 16711680.0 16.0 2.0
0.01550196297466755 -1.7412798404693604 0.0 16711680.0 17.0 2.0
0.26766452193260193 -1.7581028938293457 0.0 16711680.0 18.0 2.0
0.5667423605918884 -1.7880746126174927 0.0 16711680.0 19.0 2.0
0.8156909942626953 -1.7568730115890503 0.0 16711680.0 20.0 2.0
1.0190480947494507 -1.6771161556243896 0.0 16711680.0 21.0 2.0
1.2155309915542603 -1.5906239748001099 0.0 16711680.0 22.0 2.0
1.2973240613937378 -1.593291163444519 0.0 16711680.0 23.0 2.0
1.3420723676681519 -1.5887415409088135 0.0 16711680.0 24.0 2.0
1.3503175973892212 -1.5940359830856323 0.0 16711680.0 25.0 2.0
1.353261947631836 -1.584107518196106 0.0 16711680.0 26.0 2.0
1.369893193244934 -1.5658541917800903 0.0 16711680.0 27.0 2.0
1.3617020845413208 -1.5763205289840698 0.0 16711680.0 28.0 2.0
1.3641623258590698 -1.5918439626693726 0.0 16711680.0 29.0 2.0
1.3767942190170288 -1.5741440057754517 0.0 16711680.0 30.0 2.0
1.2561588287353516 -1.7262728214263916 0.0 16711680.0 31.0 2.0
1.0098644495010376 -1.9417908191680908 0.0 16711680.0 32.0 2.0
0.7496427297592163 -2.0935897827148438 0.0 16711680.0 33.0 2.0
0.47173452377319336 -2.195946216583252 0.0 16711680.0 34.0 2.0
0.18563604354858398 -2.248831272125244 0.0 16711680.0 35.0 2.0
-0.025860164314508438 -2.252270460128784 0.0 16711680.0 36.0 2.0
-0.025860164314508438 -2.252270460128784 0.0 8190976.0 37.0 2.0
-0.11680107563734055 -2.251946210861206 0.0 8190976.0 38.0 2.0
-0.25828370451927185 -2.193906545639038 0.0 8190976.0 39.0 2.0
-0.4797021448612213 -2.032818555831909 0.0 8190976.0 40.0 2.0
-0.7352023124694824 -1.8711391687393188 0.0 8190976.0 41.0 2.0
-0.9816715717315674 -1.749180555343628 0.0 8190976.0 42.0 2.0
-1.2704979181289673 -1.6507740020751953 0.0 8190976.0 43.0 2.0
-1.4159029722213745 -1.6194511651992798 0.0 8190976.0 44.0 2.0
-1.4159029722213745 -1.6194511651992798 0.0 16776960.0 45.0 2.0
-1.530843734741211 -1.54632568359375 0.0 16776960.0 46.0 2.0
-1.6748051643371582 -1.399591326713562 0.0 16776960.0 47.0 2.0
-1.8733837604522705 -1.1457769870758057 0.0 16776960.0 48.0 2.0
-1.9744298458099365 -0.9970458149909973 0.0 16776960.0 49.0 2.0
-2.0526366233825684 -0.7457895874977112 0.0 16776960.0 50.0 2.0
-2.1728086471557617 -0.5272483229637146 0.0 16776960.0 51.0 2.0
