# x y z rgb confidence size
-1.7269630432128906 -0.5070705413818359 0.0 8190976.0 2.0 2.0
-1.4697961807250977 -0.5317607522010803 0.0 8190976.0 3.0 2.0
-1.178260087966919 -0.5594761371612549 0.0 8190976.0 4.0 2.0
-0.9432942271232605 -0.589519739151001 0.0 8190976.0 5.0 2.0
-0.8328505754470825 -0.5697846412658691 0.0 8190976.0 6.0 2.0
-0.7414339184761047 -0.5328432321548462 0.0 8190976.0 7.0 2.0
-0.675596296787262 -0.4776347279548645 0.0 8190976.0 8.0 2.0
-0.6216583847999573 -0.40594935417175293 0.0 8190976.0 9.0 2.0
-0.5540869832038879 -0.26506683230400085 0.0 8190976.0 10.0 2.0
-0.5233510732650757 -0.07656112313270569 0.0 8190976.0 11.0 2.0
-0.5164634585380554 0.2157171368598938 0.0 8190976.0 12.0 2.0
-0.5267433524131775 0.48100242018699646 0.0 8190976.0 13.0 2.0
-0.5437418222427368 0.718214213848114 0.0 8190976.0 14.0 2.0
-0.5386695861816406 0.7179014682769775 0.0 8190976.0 15.0 2.0
-0.4997633695602417 0.7540103197097778 0.0 8190976.0 16.0 2.0
-0.4135153591632843 0.7798315286636353 0.0 8190976.0 17.0 2.0
-0.35633954405784607 0.7659480571746826 0.0 8190976.0 18.0 2.0
-0.2787735164165497 0.7574598789215088 0.0 8190976.0 19.0 2.0
-0.042695049196481705 0.6348247528076172 0.0 8190976.0 20.0 2.0
0.07126511633396149 0.5978065729141235 0.0 8190976.0 21.0 2.0
0.09059888869524002 0.5900264978408813 0.0 8190976.0 22.0 2.0
0.09612930566072464 0.5913290977478027 0.0 8190976.0 23.0 2.0
