# x y z rgb confidence size
-1.0622310638427734 -1.5974066257476807 0.0 8190976.0 11.0 2.0
-0.7931711673736572 -1.7157437801361084 0.0 8190976.0 12.0 2.0
-0.4941922724246979 -1.798497200012207 0.0 8190976.0 13.0 2.0
-0.3660791516304016 -1.805952787399292 0.0 8190976.0 14.0 2.0
-0.21390214562416077 -1.7894521951675415 0.0 8190976.0 15.0 2.0
-0.21390214562416077 -1.7894521951675415 0.0 16711680.0 16.0 2.0
0.01550196297466755 -1.7412798404693604 0.0 16711680.0 17.0 2.0
0.26766452193260193 -1.7581028938293457 0.0 16711680.0 18.0 2.0
0.5667423605918884 -1.7880746126174927 0.0 16711680.0 19.0 2.0
0.8156909942626953 -1.7568730115890503 0.0 16711680.0 20.0 2.0
-0.7352023124694824 -1.8711391687393188 0.0 8190976.0 41.0 2.0
-0.9816715717315674 -1.749180555343628 0.0 8190976.0 42.0 2.0
-1.2704979181289673 -1.6507740020751953 0.0 8190976.0 43.0 2.0
